Landkreis;Crop;Variety;A_ha;P_per_A;P_t;Year
Frankfurt (Oder) (KfS);Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2001-2006
Frankfurt (Oder) (KfS);Getreide;Sommergerste;NA;NA;NA;2001-2006
Frankfurt (Oder) (KfS);Getreide;Triticale;NA;42.9;NA;2001-2006
Frankfurt (Oder) (KfS);Getreide;Weizen zusammen;NA;46.3;NA;2001-2006
Frankfurt (Oder) (KfS);Getreide;Wintergerste;NA;60.2;NA;2001-2006
Frankfurt (Oder) (KfS);Getreide;Winterweizen einschl. Dinkel;NA;46.4;NA;2001-2006
Frankfurt (Oder) (KfS);Hackfruechte;Kartoffeln zusammen;NA;285.7;NA;2001-2006
Frankfurt (Oder) (KfS);Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;290.2;NA;2001-2006
Frankfurt (Oder) (KfS);Hackfruechte;Zuckerrueben;NA;NA;NA;2001-2006
Frankfurt (Oder) (KfS);Huelsenfruechte;Erbsen;NA;NA;NA;2001-2006
Frankfurt (Oder) (KfS);Huelsenfruechte;Lupinen;NA;NA;NA;2001-2006
Frankfurt (Oder) (KfS);Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2001-2006
Frankfurt (Oder) (KfS);Oelfruechte;Sonnenblumen;NA;21. Aug;NA;2001-2006
Frankfurt (Oder) (KfS);Oelfruechte;Winterraps;NA;31;NA;2001-2006
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;37.8;NA;2001-2006
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;57.8;NA;2001-2006
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2001-2006
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;85.8;NA;2001-2006
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;318.6;NA;2001-2006
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;51.2;NA;2001-2006
